instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,day_type,temp_category,cnt_log,data_source
1,2011-01-01,Spring,0,1,0,6,0,2,0.344167,0.805833,0.160446,331,654,985,Weekend,Mild,6.893656354602635,day
2,2011-01-02,Spring,0,1,0,0,0,2,0.363478,0.696087,0.248539,131,670,801,Weekend,Mild,6.687108607866515,day
3,2011-01-03,Spring,0,1,0,1,1,1,0.196364,0.437273,0.248309,120,1229,1349,Weekday,Cold,7.2078598714324755,day
4,2011-01-04,Spring,0,1,0,2,1,1,0.2,0.590435,0.160296,108,1454,1562,Weekday,Cold,7.354362330421477,day
5,2011-01-05,Spring,0,1,0,3,1,1,0.226957,0.436957,0.1869,82,1518,1600,Weekday,Cold,7.378383712996714,day
6,2011-01-06,Spring,0,1,0,4,1,1,0.204348,0.518261,0.0895652,88,1518,1606,Weekday,Cold,7.382124365737512,day
7,2011-01-07,Spring,0,1,0,5,1,2,0.196522,0.498696,0.168726,148,1362,1510,Weekday,Cold,7.32052696227274,day
8,2011-01-08,Spring,0,1,0,6,0,2,0.165,0.535833,0.266804,68,891,959,Weekend,Cold,6.866933284461882,day
9,2011-01-09,Spring,0,1,0,0,0,1,0.138333,0.434167,0.36195,54,768,822,Weekend,Cold,6.71295620067707,day
10,2011-01-10,Spring,0,1,0,1,1,1,0.150833,0.482917,0.223267,41,1280,1321,Weekday,Cold,7.186901020411631,day
11,2011-01-11,Spring,0,1,0,2,1,2,0.169091,0.686364,0.122132,43,1220,1263,Weekday,Cold,7.142036574706803,day
12,2011-01-12,Spring,0,1,0,3,1,1,0.172727,0.599545,0.304627,25,1137,1162,Weekday,Cold,7.0587581525186645,day
13,2011-01-13,Spring,0,1,0,4,1,1,0.165,0.470417,0.301,38,1368,1406,Weekday,Cold,7.249215057114389,day
14,2011-01-14,Spring,0,1,0,5,1,1,0.16087,0.537826,0.126548,54,1367,1421,Weekday,Cold,7.259819610363186,day
15,2011-01-15,Spring,0,1,0,6,0,2,0.233333,0.49875,0.157963,222,1026,1248,Weekend,Cold,7.130098510125578,day
16,2011-01-16,Spring,0,1,0,0,0,1,0.231667,0.48375,0.188433,251,953,1204,Weekend,Cold,7.094234845924755,day
17,2011-01-17,Spring,0,1,1,1,0,2,0.175833,0.5375,0.194017,117,883,1000,Weekday,Cold,6.90875477931522,day
18,2011-01-18,Spring,0,1,0,2,1,2,0.216667,0.861667,0.146775,9,674,683,Weekday,Cold,6.52795791762255,day
19,2011-01-19,Spring,0,1,0,3,1,2,0.292174,0.741739,0.208317,78,1572,1650,Weekday,Cold,7.409136443920128,day
20,2011-01-20,Spring,0,1,0,4,1,2,0.261667,0.538333,0.195904,83,1844,1927,Weekday,Cold,7.564238475170491,day
21,2011-01-21,Spring,0,1,0,5,1,1,0.1775,0.457083,0.353242,75,1468,1543,Weekday,Cold,7.342131730584722,day
22,2011-01-22,Spring,0,1,0,6,0,1,0.0591304,0.4,0.17197,93,888,981,Weekend,Cold,6.889591308354466,day
23,2011-01-23,Spring,0,1,0,0,0,1,0.0965217,0.436522,0.2466,150,836,986,Weekend,Cold,6.894670039433482,day
24,2011-01-24,Spring,0,1,0,1,1,1,0.0973913,0.491739,0.15833,86,1330,1416,Weekday,Cold,7.256297239690681,day
25,2011-01-25,Spring,0,1,0,2,1,2,0.223478,0.616957,0.129796,186,1799,1985,Weekday,Cold,7.593877844605118,day
26,2011-01-26,Spring,0,1,0,3,1,3,0.2175,0.8625,0.29385,34,472,506,Weekday,Cold,6.228511003591184,day
27,2011-01-27,Spring,0,1,0,4,1,1,0.195,0.6875,0.113837,15,416,431,Weekday,Cold,6.068425588244111,day
28,2011-01-28,Spring,0,1,0,5,1,2,0.203478,0.793043,0.1233,38,1129,1167,Weekday,Cold,7.0630481633881725,day
29,2011-01-29,Spring,0,1,0,6,0,1,0.196522,0.651739,0.145365,123,975,1098,Weekend,Cold,7.002155954403621,day
30,2011-01-30,Spring,0,1,0,0,0,1,0.216522,0.722174,0.0739826,140,956,1096,Weekend,Cold,7.00033446027523,day
31,2011-01-31,Spring,0,1,0,1,1,2,0.180833,0.60375,0.187192,42,1459,1501,Weekday,Cold,7.31455283232408,day
32,2011-02-01,Spring,0,2,0,2,1,2,0.192174,0.829565,0.053213,47,1313,1360,Weekday,Cold,7.215975002651466,day
33,2011-02-02,Spring,0,2,0,3,1,2,0.26,0.775417,0.264308,72,1454,1526,Weekday,Cold,7.331060305218632,day
34,2011-02-03,Spring,0,2,0,4,1,1,0.186957,0.437826,0.277752,61,1489,1550,Weekday,Cold,7.346655163176539,day
35,2011-02-04,Spring,0,2,0,5,1,2,0.211304,0.585217,0.127839,88,1620,1708,Weekday,Cold,7.443663683115591,day
36,2011-02-05,Spring,0,2,0,6,0,2,0.233333,0.929167,0.161079,100,905,1005,Weekend,Cold,6.913737350659685,day
37,2011-02-06,Spring,0,2,0,0,0,1,0.285833,0.568333,0.1418,354,1269,1623,Weekend,Cold,7.392647520721623,day
38,2011-02-07,Spring,0,2,0,1,1,1,0.271667,0.738333,0.0454083,120,1592,1712,Weekday,Cold,7.44600149832412,day
39,2011-02-08,Spring,0,2,0,2,1,1,0.220833,0.537917,0.36195,64,1466,1530,Weekday,Cold,7.333676395657684,day
40,2011-02-09,Spring,0,2,0,3,1,2,0.134783,0.494783,0.188839,53,1552,1605,Weekday,Cold,7.381501894506707,day
41,2011-02-10,Spring,0,2,0,4,1,1,0.144348,0.437391,0.221935,47,1491,1538,Weekday,Cold,7.338888133838879,day
42,2011-02-11,Spring,0,2,0,5,1,1,0.189091,0.506364,0.10855,149,1597,1746,Weekday,Cold,7.465655310134056,day
43,2011-02-12,Spring,0,2,0,6,0,1,0.2225,0.544167,0.203367,288,1184,1472,Weekend,Cold,7.29505641646263,day
44,2011-02-13,Spring,0,2,0,0,0,1,0.316522,0.457391,0.260883,397,1192,1589,Weekend,Mild,7.371489295214277,day
45,2011-02-14,Spring,0,2,0,1,1,1,0.415,0.375833,0.417908,208,1705,1913,Weekday,Mild,7.5569505720129,day
46,2011-02-15,Spring,0,2,0,2,1,1,0.266087,0.314348,0.291374,140,1675,1815,Weekday,Cold,7.504391559161238,day
47,2011-02-16,Spring,0,2,0,3,1,1,0.318261,0.423478,0.251791,218,1897,2115,Weekday,Mild,7.65728279297819,day
48,2011-02-17,Spring,0,2,0,4,1,1,0.435833,0.505,0.230104,259,2216,2475,Weekday,Mild,7.814399633804487,day
49,2011-02-18,Spring,0,2,0,5,1,1,0.521667,0.516667,0.264925,579,2348,2927,Weekday,Mild,7.982074875081202,day
50,2011-02-19,Spring,0,2,0,6,0,1,0.399167,0.187917,0.507463,532,1103,1635,Weekend,Mild,7.400009517162692,day
51,2011-02-20,Spring,0,2,0,0,0,1,0.285217,0.407826,0.223235,639,1173,1812,Weekend,Cold,7.502738210754851,day
52,2011-02-21,Spring,0,2,1,1,0,2,0.303333,0.605,0.307846,195,912,1107,Weekday,Mild,7.010311867307229,day
53,2011-02-22,Spring,0,2,0,2,1,1,0.182222,0.577778,0.195683,74,1376,1450,Weekday,Cold,7.280008252884188,day
54,2011-02-23,Spring,0,2,0,3,1,1,0.221739,0.423043,0.094113,139,1778,1917,Weekday,Cold,7.559038255443384,day
55,2011-02-24,Spring,0,2,0,4,1,2,0.295652,0.697391,0.250496,100,1707,1807,Weekday,Cold,7.4999765409521215,day
56,2011-02-25,Spring,0,2,0,5,1,2,0.364348,0.712174,0.346539,120,1341,1461,Weekday,Mild,7.2875606403097235,day
57,2011-02-26,Spring,0,2,0,6,0,1,0.2825,0.537917,0.186571,424,1545,1969,Weekend,Cold,7.585788821732034,day
58,2011-02-27,Spring,0,2,0,0,0,1,0.343478,0.68,0.125248,694,1708,2402,Weekend,Mild,7.784473235736469,day
59,2011-02-28,Spring,0,2,0,1,1,2,0.407273,0.876364,0.289686,81,1365,1446,Weekday,Mild,7.277247726631484,day
60,2011-03-01,Spring,0,3,0,2,1,1,0.266667,0.535,0.216425,137,1714,1851,Weekday,Cold,7.524021415206125,day
61,2011-03-02,Spring,0,3,0,3,1,1,0.335,0.449583,0.307833,231,1903,2134,Weekday,Mild,7.666221925662725,day
62,2011-03-03,Spring,0,3,0,4,1,1,0.198333,0.318333,0.225754,123,1562,1685,Weekday,Cold,7.430114138561801,day
63,2011-03-04,Spring,0,3,0,5,1,2,0.261667,0.610417,0.203346,214,1730,1944,Weekday,Cold,7.573017256052546,day
64,2011-03-05,Spring,0,3,0,6,0,2,0.384167,0.789167,0.251871,640,1437,2077,Weekend,Mild,7.639161171659173,day
65,2011-03-06,Spring,0,3,0,0,0,2,0.376522,0.948261,0.343287,114,491,605,Weekend,Mild,6.406879986069314,day
66,2011-03-07,Spring,0,3,0,1,1,1,0.261739,0.551304,0.341352,244,1628,1872,Weekday,Cold,7.535296702444088,day
67,2011-03-08,Spring,0,3,0,2,1,1,0.2925,0.420833,0.12065,316,1817,2133,Weekday,Cold,7.665753431861699,day
68,2011-03-09,Spring,0,3,0,3,1,2,0.295833,0.775417,0.22015,191,1700,1891,Weekday,Cold,7.545389749611823,day
70,2011-03-11,Spring,0,3,0,5,1,2,0.316522,0.649565,0.23297,247,1730,1977,Weekday,Mild,7.589841512182657,day
71,2011-03-12,Spring,0,3,0,6,0,1,0.329167,0.594583,0.220775,724,1408,2132,Weekend,Mild,7.665284718471351,day
72,2011-03-13,Spring,0,3,0,0,0,1,0.384348,0.527391,0.270604,982,1435,2417,Weekend,Mild,7.790696031174738,day
73,2011-03-14,Spring,0,3,0,1,1,1,0.325217,0.496957,0.136926,359,1687,2046,Weekday,Mild,7.624130585661289,day
74,2011-03-15,Spring,0,3,0,2,1,2,0.317391,0.655652,0.184309,289,1767,2056,Weekday,Mild,7.629003889652957,day
75,2011-03-16,Spring,0,3,0,3,1,2,0.365217,0.776522,0.203117,321,1871,2192,Weekday,Mild,7.693025748417888,day
76,2011-03-17,Spring,0,3,0,4,1,1,0.415,0.602917,0.209579,424,2320,2744,Weekday,Mild,7.917536353943631,day
77,2011-03-18,Spring,0,3,0,5,1,1,0.54,0.525217,0.231017,884,2355,3239,Weekday,Mild,8.083328608786376,day
78,2011-03-19,Spring,0,3,0,6,0,1,0.4725,0.379167,0.368167,1424,1693,3117,Weekend,Mild,8.044947049617722,day
79,2011-03-20,Spring,0,3,0,0,0,1,0.3325,0.47375,0.207721,1047,1424,2471,Weekend,Mild,7.812782818577581,day
80,2011-03-21,Summer,0,3,0,1,1,2,0.430435,0.737391,0.288783,401,1676,2077,Weekday,Mild,7.639161171659173,day
81,2011-03-22,Summer,0,3,0,2,1,1,0.441667,0.624583,0.22575,460,2243,2703,Weekday,Mild,7.902487437162855,day
82,2011-03-23,Summer,0,3,0,3,1,2,0.346957,0.839565,0.234261,203,1918,2121,Weekday,Mild,7.660114319173928,day
83,2011-03-24,Summer,0,3,0,4,1,2,0.285,0.805833,0.243787,166,1699,1865,Weekday,Cold,7.531552381407289,day
84,2011-03-25,Summer,0,3,0,5,1,1,0.264167,0.495,0.230725,300,1910,2210,Weekday,Cold,7.701200180857446,day
85,2011-03-26,Summer,0,3,0,6,0,1,0.265833,0.394167,0.209571,981,1515,2496,Weekend,Cold,7.822845290279774,day
86,2011-03-27,Summer,0,3,0,0,0,2,0.253043,0.493913,0.1843,472,1221,1693,Weekend,Cold,7.434847875211999,day
87,2011-03-28,Summer,0,3,0,1,1,1,0.264348,0.302174,0.212204,222,1806,2028,Weekday,Cold,7.615298339825815,day
88,2011-03-29,Summer,0,3,0,2,1,1,0.3025,0.314167,0.226996,317,2108,2425,Weekday,Mild,7.793999089503996,day
89,2011-03-30,Summer,0,3,0,3,1,2,0.3,0.646667,0.172888,168,1368,1536,Weekday,Cold,7.337587743538596,day
90,2011-03-31,Summer,0,3,0,4,1,3,0.268333,0.918333,0.217646,179,1506,1685,Weekday,Cold,7.430114138561801,day
91,2011-04-01,Summer,0,4,0,5,1,2,0.3,0.68625,0.258708,307,1920,2227,Weekday,Cold,7.708859601047175,day
92,2011-04-02,Summer,0,4,0,6,0,2,0.315,0.65375,0.197146,898,1354,2252,Weekend,Mild,7.720017940432244,day
93,2011-04-03,Summer,0,4,0,0,0,1,0.378333,0.48,0.182213,1651,1598,3249,Weekend,Mild,8.086410275323782,day
94,2011-04-04,Summer,0,4,0,1,1,1,0.573333,0.42625,0.385571,734,2381,3115,Weekday,Mild,8.044305406990638,day
95,2011-04-05,Summer,0,4,0,2,1,2,0.414167,0.642083,0.388067,167,1628,1795,Weekday,Mild,7.493317248862145,day
96,2011-04-06,Summer,0,4,0,3,1,1,0.390833,0.470833,0.263063,413,2395,2808,Weekday,Mild,7.940583827104244,day
97,2011-04-07,Summer,0,4,0,4,1,1,0.4375,0.602917,0.162312,571,2570,3141,Weekday,Mild,8.052614818815567,day
98,2011-04-08,Summer,0,4,0,5,1,2,0.335833,0.83625,0.226992,172,1299,1471,Weekday,Mild,7.294377299288821,day
99,2011-04-09,Summer,0,4,0,6,0,2,0.3425,0.8775,0.133083,879,1576,2455,Weekend,Mild,7.806289289267033,day
100,2011-04-10,Summer,0,4,0,0,0,2,0.426667,0.8575,0.146767,1188,1707,2895,Weekend,Mild,7.971085753505607,day
101,2011-04-11,Summer,0,4,0,1,1,2,0.595652,0.716956,0.324474,855,2493,3348,Weekday,Mild,8.116417072794205,day
102,2011-04-12,Summer,0,4,0,2,1,2,0.5025,0.739167,0.274879,257,1777,2034,Weekday,Mild,7.618251097876695,day
103,2011-04-13,Summer,0,4,0,3,1,2,0.4125,0.819167,0.250617,209,1953,2162,Weekday,Mild,7.679251425953058,day
104,2011-04-14,Summer,0,4,0,4,1,1,0.4675,0.540417,0.1107,529,2738,3267,Weekday,Mild,8.091933455979893,day
105,2011-04-15,Summer,0,4,1,5,0,1,0.446667,0.67125,0.226375,642,2484,3126,Weekday,Mild,8.047829357457841,day
106,2011-04-16,Summer,0,4,0,6,0,3,0.430833,0.888333,0.340808,121,674,795,Weekend,Mild,6.679599185844383,day
107,2011-04-17,Summer,0,4,0,0,0,1,0.456667,0.479583,0.303496,1558,2186,3744,Weekend,Mild,8.22817689595132,day
108,2011-04-18,Summer,0,4,0,1,1,1,0.5125,0.5425,0.163567,669,2760,3429,Weekday,Mild,8.140315540159985,day
109,2011-04-19,Summer,0,4,0,2,1,2,0.505833,0.665833,0.157971,409,2795,3204,Weekday,Mild,8.07246736935477,day
110,2011-04-20,Summer,0,4,0,3,1,1,0.595,0.614167,0.241925,613,3331,3944,Weekday,Mild,8.280204233279974,day
111,2011-04-21,Summer,0,4,0,4,1,1,0.459167,0.407083,0.325258,745,3444,4189,Weekday,Mild,8.340456012916183,day
112,2011-04-22,Summer,0,4,0,5,1,2,0.336667,0.729583,0.219521,177,1506,1683,Weekday,Mild,7.428927194802272,day
113,2011-04-23,Summer,0,4,0,6,0,2,0.46,0.887917,0.230725,1462,2574,4036,Weekend,Mild,8.30325712085294,day
114,2011-04-24,Summer,0,4,0,0,0,2,0.581667,0.810833,0.192175,1710,2481,4191,Weekend,Mild,8.340933226000878,day
115,2011-04-25,Summer,0,4,0,1,1,1,0.606667,0.776667,0.185333,773,3300,4073,Weekday,Warm,8.31238059678675,day
116,2011-04-26,Summer,0,4,0,2,1,1,0.631667,0.729167,0.3265,678,3722,4400,Weekday,Warm,8.38958706681109,day
117,2011-04-27,Summer,0,4,0,3,1,2,0.62,0.835417,0.3122,547,3325,3872,Weekday,Warm,8.261784679514752,day
118,2011-04-28,Summer,0,4,0,4,1,2,0.6175,0.700833,0.320908,569,3489,4058,Weekday,Warm,8.308691916838898,day
119,2011-04-29,Summer,0,4,0,5,1,1,0.51,0.457083,0.240063,878,3717,4595,Weekday,Mild,8.432941638968646,day
120,2011-04-30,Summer,0,4,0,6,0,1,0.4725,0.503333,0.235075,1965,3347,5312,Weekend,Mild,8.577911926450943,day
121,2011-05-01,Summer,0,5,0,0,0,2,0.451667,0.762083,0.106354,1138,2213,3351,Weekend,Mild,8.117312461601975,day
122,2011-05-02,Summer,0,5,0,1,1,2,0.549167,0.73,0.183454,847,3554,4401,Weekday,Mild,8.389814262086407,day
123,2011-05-03,Summer,0,5,0,2,1,2,0.616667,0.697083,0.342667,603,3848,4451,Weekday,Warm,8.401108712395436,day
124,2011-05-04,Summer,0,5,0,3,1,2,0.414167,0.737083,0.328996,255,2378,2633,Weekday,Mild,7.876258882303226,day
125,2011-05-05,Summer,0,5,0,4,1,1,0.459167,0.444167,0.295392,614,3819,4433,Weekday,Mild,8.397057390176256,day
126,2011-05-06,Summer,0,5,0,5,1,1,0.479167,0.59,0.228246,894,3714,4608,Weekday,Mild,8.435766192720509,day
127,2011-05-07,Summer,0,5,0,6,0,1,0.52,0.54125,0.16045,1612,3102,4714,Weekend,Mild,8.458504195067558,day
128,2011-05-08,Summer,0,5,0,0,0,1,0.528333,0.631667,0.0746375,1401,2932,4333,Weekend,Mild,8.374246182096304,day
129,2011-05-09,Summer,0,5,0,1,1,1,0.5325,0.58875,0.176,664,3698,4362,Weekday,Mild,8.38091517312361,day
130,2011-05-10,Summer,0,5,0,2,1,1,0.5325,0.489167,0.115671,694,4109,4803,Weekday,Mild,8.477204183199873,day
131,2011-05-11,Summer,0,5,0,3,1,1,0.5425,0.632917,0.120642,550,3632,4182,Weekday,Mild,8.338783971442199,day
132,2011-05-12,Summer,0,5,0,4,1,1,0.535,0.7475,0.189667,695,4169,4864,Weekday,Mild,8.489821994620105,day
133,2011-05-13,Summer,0,5,0,5,1,2,0.5125,0.863333,0.179725,692,3413,4105,Weekday,Mild,8.32020459757888,day
134,2011-05-14,Summer,0,5,0,6,0,2,0.520833,0.9225,0.13495,902,2507,3409,Weekend,Mild,8.134467570277563,day
135,2011-05-15,Summer,0,5,0,0,0,2,0.5625,0.867083,0.152979,1582,2971,4553,Weekend,Mild,8.423761246623686,day
136,2011-05-16,Summer,0,5,0,1,1,1,0.5775,0.787917,0.126871,773,3185,3958,Weekday,Mild,8.28374674710613,day
137,2011-05-17,Summer,0,5,0,2,1,2,0.561667,0.837917,0.277354,678,3445,4123,Weekday,Mild,8.32457884513685,day
138,2011-05-18,Summer,0,5,0,3,1,2,0.55,0.87,0.201492,536,3319,3855,Weekday,Mild,8.257385655730436,day
139,2011-05-19,Summer,0,5,0,4,1,2,0.530833,0.829583,0.108213,735,3840,4575,Weekday,Mild,8.428580533059634,day
140,2011-05-20,Summer,0,5,0,5,1,1,0.536667,0.719583,0.125013,909,4008,4917,Weekday,Mild,8.500657222776137,day
141,2011-05-21,Summer,0,5,0,6,0,1,0.6025,0.626667,0.12065,2258,3547,5805,Weekend,Warm,8.666647144584575,day
142,2011-05-22,Summer,0,5,0,0,0,1,0.604167,0.749583,0.148008,1576,3084,4660,Weekend,Warm,8.446985296372741,day
143,2011-05-23,Summer,0,5,0,1,1,2,0.631667,0.81,0.233842,836,3438,4274,Weekday,Warm,8.360539381370861,day
144,2011-05-24,Summer,0,5,0,2,1,2,0.66,0.740833,0.207092,659,3833,4492,Weekday,Warm,8.41027590907016,day
145,2011-05-25,Summer,0,5,0,3,1,1,0.660833,0.69625,0.154233,740,4238,4978,Weekday,Warm,8.512984346642183,day
146,2011-05-26,Summer,0,5,0,4,1,1,0.708333,0.6775,0.199642,758,3919,4677,Weekday,Warm,8.450625947144124,day
147,2011-05-27,Summer,0,5,0,5,1,1,0.681667,0.65375,0.240679,871,3808,4679,Weekday,Warm,8.451053388911692,day
148,2011-05-28,Summer,0,5,0,6,0,1,0.655833,0.729583,0.230092,2001,2757,4758,Weekend,Warm,8.46779284112111,day
149,2011-05-29,Summer,0,5,0,0,0,1,0.6675,0.81875,0.213938,2355,2433,4788,Weekend,Warm,8.47407690034261,day
150,2011-05-30,Summer,0,5,1,1,0,1,0.733333,0.685,0.131225,1549,2549,4098,Weekday,Warm,8.318498320504338,day
151,2011-05-31,Summer,0,5,0,2,1,1,0.775,0.636667,0.111329,673,3309,3982,Weekday,Warm,8.289790583181643,day
152,2011-06-01,Summer,0,6,0,3,1,2,0.764167,0.677083,0.207092,513,3461,3974,Weekday,Warm,8.287780027088433,day
153,2011-06-02,Summer,0,6,0,4,1,1,0.715,0.305,0.292287,736,4232,4968,Weekday,Warm,8.51097389160232,day
154,2011-06-03,Summer,0,6,0,5,1,1,0.62,0.354167,0.253121,898,4414,5312,Weekday,Warm,8.577911926450943,day
155,2011-06-04,Summer,0,6,0,6,0,1,0.635,0.45625,0.123142,1869,3473,5342,Weekend,Warm,8.583542571957771,day
156,2011-06-05,Summer,0,6,0,0,0,2,0.648333,0.6525,0.138692,1685,3221,4906,Weekend,Warm,8.498418036089904,day
157,2011-06-06,Summer,0,6,0,1,1,1,0.678333,0.6,0.121896,673,3875,4548,Weekday,Warm,8.422662707570003,day
158,2011-06-07,Summer,0,6,0,2,1,1,0.7075,0.597917,0.187808,763,4070,4833,Weekday,Warm,8.483429561263428,day
159,2011-06-08,Summer,0,6,0,3,1,1,0.775833,0.622083,0.136817,676,3725,4401,Weekday,Warm,8.389814262086407,day
160,2011-06-09,Summer,0,6,0,4,1,2,0.808333,0.568333,0.149883,563,3352,3915,Weekday,Warm,8.272826003650401,day
161,2011-06-10,Summer,0,6,0,5,1,1,0.755,0.605,0.140554,815,3771,4586,Weekday,Warm,8.430981494597171,day
162,2011-06-11,Summer,0,6,0,6,0,1,0.725,0.654583,0.15485,1729,3237,4966,Weekend,Warm,8.51057131510735,day
163,2011-06-12,Summer,0,6,0,0,0,1,0.6925,0.747917,0.163567,1467,2993,4460,Weekend,Warm,8.403128235128264,day
164,2011-06-13,Summer,0,6,0,1,1,1,0.635,0.494583,0.30535,863,4157,5020,Weekday,Warm,8.521384396034705,day
165,2011-06-14,Summer,0,6,0,2,1,1,0.604167,0.507083,0.269283,727,4164,4891,Weekday,Warm,8.495356496807062,day
166,2011-06-15,Summer,0,6,0,3,1,1,0.626667,0.471667,0.167912,769,4411,5180,Weekday,Warm,8.552753366814787,day
167,2011-06-16,Summer,0,6,0,4,1,2,0.628333,0.688333,0.206471,545,3222,3767,Weekday,Warm,8.234299635696253,day
168,2011-06-17,Summer,0,6,0,5,1,1,0.649167,0.735833,0.143029,863,3981,4844,Weekday,Warm,8.485702524324866,day
169,2011-06-18,Summer,0,6,0,6,0,1,0.696667,0.670417,0.119408,1807,3312,5119,Weekend,Warm,8.540909718033554,day
170,2011-06-19,Summer,0,6,0,0,0,2,0.699167,0.666667,0.102,1639,3105,4744,Weekend,Warm,8.464846711044029,day
171,2011-06-20,Summer,0,6,0,1,1,2,0.635,0.74625,0.155475,699,3311,4010,Weekday,Warm,8.296795865770052,day
172,2011-06-21,Fall,0,6,0,2,1,2,0.680833,0.770417,0.171025,774,4061,4835,Weekday,Warm,8.483843211734683,day
173,2011-06-22,Fall,0,6,0,3,1,1,0.733333,0.7075,0.172262,661,3846,4507,Weekday,Warm,8.413608875159667,day
174,2011-06-23,Fall,0,6,0,4,1,2,0.728333,0.703333,0.238804,746,4044,4790,Weekday,Warm,8.474494436883122,day
175,2011-06-24,Fall,0,6,0,5,1,1,0.724167,0.573333,0.222025,969,4022,4991,Weekday,Warm,8.515591910049263,day
176,2011-06-25,Fall,0,6,0,6,0,1,0.695,0.483333,0.209571,1782,3420,5202,Weekend,Warm,8.556990661290303,day
177,2011-06-26,Fall,0,6,0,0,0,1,0.68,0.513333,0.0945333,1920,3385,5305,Weekend,Warm,8.576593534697684,day
178,2011-06-27,Fall,0,6,0,1,1,2,0.6825,0.658333,0.107588,854,3854,4708,Weekday,Warm,8.457230850243555,day
179,2011-06-28,Fall,0,6,0,2,1,1,0.744167,0.634167,0.144283,732,3916,4648,Weekday,Warm,8.444407421690585,day
180,2011-06-29,Fall,0,6,0,3,1,1,0.728333,0.497917,0.261821,848,4377,5225,Weekday,Warm,8.561401446080557,day
181,2011-06-30,Fall,0,6,0,4,1,1,0.696667,0.434167,0.185312,1027,4488,5515,Weekday,Warm,8.615408238913192,day
182,2011-07-01,Fall,0,7,0,5,1,1,0.7225,0.39625,0.102608,1246,4116,5362,Weekday,Warm,8.587278798982926,day
183,2011-07-02,Fall,0,7,0,6,0,1,0.738333,0.444583,0.115062,2204,2915,5119,Weekend,Warm,8.540909718033554,day
